Subcellular.Location	Entry	Gene.Name	Protein.Names
TM.protein	Q9NR71	ASAH2	ASAH2_HUMAN
TM.protein	P98073	TMPRSS15	ENTK_HUMAN
TM.protein	Q7Z7M9	GALNT5	GALT5_HUMAN
TM.protein	Q9UBX8	B4GALT6	B4GT6_HUMAN
TM.protein	O75503	CLN5	CLN5_HUMAN
TM.protein	Q6Q4G3	LVRN	AMPQ_HUMAN
TM.protein	O43286	B4GALT5	B4GT5_HUMAN
TM.protein	Q9UQQ1	NAALADL1	NALDL_HUMAN
TM.protein	Q92186	ST8SIA2	SIA8B_HUMAN
TM.protein	Q9NY47	CACNA2D2	CA2D2_HUMAN
TM.protein	P36269	GGT5	GGT5_HUMAN
TM.protein	Q9H3Q3	GAL3ST2	G3ST2_HUMAN
TM.protein	Q8IZP7	HS6ST3	H6ST3_HUMAN
TM.protein	O95803	NDST3	NDST3_HUMAN
TM.protein	Q495T6	MMEL1	MMEL1_HUMAN
TM.protein	O75752	B3GALNT1	B3GL1_HUMAN
TM.protein	Q9Y2A9	B3GNT3	B3GN3_HUMAN
TM.protein	Q92611	EDEM1	EDEM1_HUMAN
TM.protein	Q6UWV6	ENPP7	ENPP7_HUMAN
TM.protein	Q9H3R1	NDST4	NDST4_HUMAN
TM.protein	Q92187	ST8SIA4	SIA8D_HUMAN
TM.protein	P61647	ST8SIA6	SIA8F_HUMAN
TM.protein	P23510	TNFSF4	TNFL4_HUMAN
TM.protein	Q8NFL0	B3GNT7	B3GN7_HUMAN
TM.protein	P28907	CD38	CD38_HUMAN
TM.protein	O43916	CHST1	CHST1_HUMAN
TM.protein	Q9NPF2	CHST11	CHSTB_HUMAN
TM.protein	Q9UNA3	A4GNT	A4GCT_HUMAN
TM.protein	Q70JA7	CHSY3	CHSS3_HUMAN
TM.protein	O60512	B4GALT3	B4GT3_HUMAN
TM.protein	Q9GZX3	CHST6	CHST6_HUMAN
TM.protein	Q9H2A9	CHST8	CHST8_HUMAN
TM.protein	Q09327	MGAT3	MGAT3_HUMAN
TM.protein	Q96A11	GAL3ST3	G3ST3_HUMAN
TM.protein	Q9Y278	HS3ST2	HS3S2_HUMAN
TM.protein	Q14494	NFE2L1	NF2L1_HUMAN
TM.protein	O75900	MMP23B	MMP23_HUMAN
TM.protein	A6NG13	MGAT4D	MGT4D_HUMAN
TM.protein	O95461	LARGE1	LARG1_HUMAN
TM.protein	Q11201	ST3GAL1	SIA4A_HUMAN
TM.protein	Q68CQ1	MROH7	MROH7_HUMAN
TM.protein	Q14162	SCARF1	SREC_HUMAN
TM.protein	Q00973	B4GALNT1	B4GN1_HUMAN
TM.protein	Q9Y2C3	B3GALT5	B3GT5_HUMAN
TM.protein	Q6ZMB0	B3GNT6	B3GN6_HUMAN
TM.protein	Q8NCG5	CHST4	CHST4_HUMAN
TM.protein	Q8WXI8	CLEC4D	CLC4D_HUMAN
TM.protein	Q9NS84	CHST7	CHST7_HUMAN
TM.protein	Q86SR1	GALNT10	GLT10_HUMAN
TM.protein	O94923	GLCE	GLCE_HUMAN
TM.protein	Q92478	CLEC2B	CLC2B_HUMAN
TM.protein	P28845	HSD11B1	DHI1_HUMAN
TM.protein	P09172	DBH	DOPO_HUMAN
TM.protein	Q9NY28	GALNT8	GALT8_HUMAN
TM.protein	Q6IS24	GALNT17	GLT17_HUMAN
TM.protein	Q4G148	GXYLT1	GXLT1_HUMAN
TM.protein	Q8N3Y3	LARGE2	LARG2_HUMAN
TM.protein	Q8IUC8	GALNT13	GLT13_HUMAN
TM.protein	O95502	NPTXR	NPTXR_HUMAN
TM.protein	Q8NBJ4	GOLM1	GOLM1_HUMAN
TM.protein	Q9UJ37	ST6GALNAC2	SIA7B_HUMAN
TM.protein	Q2TBF2	WSCD2	WSCD2_HUMAN
TM.protein	Q9NST1	PNPLA3	PLPL3_HUMAN
TM.protein	Q9BVH7	ST6GALNAC5	SIA7E_HUMAN
TM.protein	O60507	TPST1	TPST1_HUMAN
TM.protein	O60704	TPST2	TPST2_HUMAN
TM.protein	P22760	AADAC	AAAD_HUMAN
TM.protein	Q8NCR0	B3GALNT2	B3GL2_HUMAN
TM.protein	Q6P4F1	FUT10	FUT10_HUMAN
TM.protein	O60513	B4GALT4	B4GT4_HUMAN
TM.protein	Q8N6G5	CSGALNACT2	CGAT2_HUMAN
TM.protein	Q9Y5Z6	B3GALT1	B3GT1_HUMAN
TM.protein	O43505	B4GAT1	B4GA1_HUMAN
TM.protein	Q8IZ52	CHPF	CHSS2_HUMAN
TM.protein	Q6ZNI0	GCNT7	GCNT7_HUMAN
TM.protein	Q8TDX6	CSGALNACT1	CGAT1_HUMAN
TM.protein	Q9P2E5	CHPF2	CHPF2_HUMAN
TM.protein	Q9P109	GCNT4	GCNT4_HUMAN
TM.protein	Q11130	FUT7	FUT7_HUMAN
TM.protein	A0PJZ3	GXYLT2	GXLT2_HUMAN
TM.protein	O00587	MFNG	MFNG_HUMAN
TM.protein	Q9BVA6	FICD	FICD_HUMAN
TM.protein	Q99999	GAL3ST1	G3ST1_HUMAN
TM.protein	Q495W5	FUT11	FUT11_HUMAN
TM.protein	Q9Y662	HS3ST3B1	HS3SB_HUMAN
TM.protein	Q10469	MGAT2	MGAT2_HUMAN
TM.protein	Q02742	GCNT1	GCNT1_HUMAN
TM.protein	O60243	HS6ST1	H6ST1_HUMAN
TM.protein	Q7LGA3	HS2ST1	HS2ST_HUMAN
TM.protein	Q8NCL4	GALNT6	GALT6_HUMAN
TM.protein	Q9UQ53	MGAT4B	MGT4B_HUMAN
TM.protein	Q8N3T1	GALNT15	GLT15_HUMAN
TM.protein	Q49A17	GALNTL6	GLTL6_HUMAN
TM.protein	Q9Y663	HS3ST3A1	HS3SA_HUMAN
TM.protein	Q8TE99	PXYLP1	PXYP1_HUMAN
TM.protein	Q658N2	WSCD1	WSCD1_HUMAN
TM.protein	A6NFA1	TRABD2B	TIKI2_HUMAN
TM.protein	Q9UNG2	TNFSF18	TNF18_HUMAN
TM.protein	Q8NAT1	POMGNT2	PMGT2_HUMAN
TM.protein	P05187	ALPP	PPB1_HUMAN
TM.protein	Q5EB52	MEST	MEST_HUMAN
TM.protein	Q8WUH6	TMEM263	TM263_HUMAN
TM.protein	A1KXE4	FAM168B	F168B_HUMAN
TM.protein	Q92781	RDH5	RDH5_HUMAN
TM.protein	Q8NBZ7	UXS1	UXS1_HUMAN
TM.protein	Q96AD5	PNPLA2	PLPL2_HUMAN
TM.protein	P61009	SPCS3	SPCS3_HUMAN
TM.protein	O75063	FAM20B	XYLK_HUMAN
TM.protein	Q7Z7M8	B3GNT8	B3GN8_HUMAN
TM.protein	Q5VTT2	C9orf135	CFA95_HUMAN
TM.protein	Q9C0J1	B3GNT4	B3GN4_HUMAN
TM.protein	Q76KP1	B4GALNT4	B4GN4_HUMAN
TM.protein	Q8N4A0	GALNT4	GALT4_HUMAN
TM.protein	Q5VTJ3	KLHDC7A	KLD7A_HUMAN
TM.protein	Q96L58	B3GALT6	B3GT6_HUMAN
TM.protein	O94766	B3GAT3	B3GA3_HUMAN
TM.protein	Q6Y288	B3GLCT	B3GLT_HUMAN
TM.protein	Q9BYG0	B3GNT5	B3GN5_HUMAN
TM.protein	Q9UBV7	B4GALT7	B4GT7_HUMAN
TM.protein	O94905	ERLIN2	ERLN2_HUMAN
TM.protein	Q9UBQ6	EXTL2	EXTL2_HUMAN
TM.protein	Q8N539	FIBCD1	FBCD1_HUMAN
TM.protein	Q8N5D6	GBGT1	GBGT1_HUMAN
TM.protein	O96024	B3GALT4	B3GT4_HUMAN
TM.protein	Q8NET6	CHST13	CHSTD_HUMAN
TM.protein	O75072	FKTN	FKTN_HUMAN
TM.protein	Q5H943	CT83	KKLC1_HUMAN
TM.protein	Q92935	EXTL1	EXTL1_HUMAN
TM.protein	Q9H1C3	GLT8D2	GL8D2_HUMAN
TM.protein	O75477	ERLIN1	ERLN1_HUMAN
TM.protein	Q96QI5	HS3ST6	HS3S6_HUMAN
TM.protein	Q8IZT8	HS3ST5	HS3S5_HUMAN
TM.protein	Q8NES3	LFNG	LFNG_HUMAN
TM.protein	Q9H741	SPRING1	SPRNG_HUMAN
TM.protein	Q06643	LTB	TNFC_HUMAN
TM.protein	Q9Y644	RFNG	RFNG_HUMAN
TM.protein	Q7Z4J2	GLT6D1	GL6D1_HUMAN
TM.protein	O00299	CLIC1	CLIC1_HUMAN
TM.protein	Q9Y277	VDAC3	VDAC3_HUMAN
TM.protein	P21796	VDAC1	VDAC1_HUMAN
TM.protein	P45880	VDAC2	VDAC2_HUMAN
TM.protein	O95847	SLC25A27	UCP4_HUMAN
TM.protein	P53007	SLC25A1	TXTP_HUMAN
TM.protein	Q6KCM7	SLC25A25	SCMC2_HUMAN
TM.protein	P55916	UCP3	UCP3_HUMAN
TM.protein	Q9BQT8	SLC25A21	ODC_HUMAN
TM.protein	P55851	UCP2	UCP2_HUMAN
TM.protein	O75746	SLC25A12	S2512_HUMAN
TM.protein	Q9UJS0	SLC25A13	S2513_HUMAN
TM.protein	Q5SVS4	SLC25A30	KMCP1_HUMAN
TM.protein	Q8N8R3	SLC25A29	S2529_HUMAN
TM.protein	Q9NYZ2	SLC25A37	MFRN1_HUMAN
TM.protein	Q96A46	SLC25A28	MFRN2_HUMAN
TM.protein	Q9H2D1	SLC25A32	S2532_HUMAN
TM.protein	Q6NUK1	SLC25A24	SCMC1_HUMAN
TM.protein	Q8N5S1	SLC25A41	S2541_HUMAN
TM.protein	Q8N2C7	UNC80	UNC80_HUMAN
TM.protein	Q96QA5	GSDMA	GSDMA_HUMAN
TM.protein	Q8IVP5	FUNDC1	FUND1_HUMAN
TM.protein	Q96BM0	IFI27L1	I27L1_HUMAN
TM.protein	Q9BVI4	NOC4L	NOC4L_HUMAN
TM.protein	Q6P9B9	INTS5	INT5_HUMAN
TM.protein	Q9NYR8	RDH8	RDH8_HUMAN
TM.protein	Q9H2X8	IFI27L2	I27L2_HUMAN
TM.protein	P62952	BLCAP	BLCAP_HUMAN
TM.protein	Q6UXV4	APOOL	MIC27_HUMAN
TM.protein	Q96DC7	TMCO6	TMCO6_HUMAN
TM.protein	Q9P2P1	NYNRIN	NYNRI_HUMAN
TM.protein	Q9HBL7	PLGRKT	PLRKT_HUMAN
TM.protein	Q8IV45	UNC5CL	UN5CL_HUMAN
TM.protein	O60313	OPA1	OPA1_HUMAN
TM.protein	A0A0B4J2F0	PIGBOS1	PIOS1_HUMAN
TM.protein	O15162	PLSCR1	PLS1_HUMAN
TM.protein	Q8N9R8	SCAI	SCAI_HUMAN
TM.protein	Q4KMG9	TMEM52B	TM52B_HUMAN
TM.protein	Q66K14	TBC1D9B	TBC9B_HUMAN
TM.protein	P41273	TNFSF9	TNFL9_HUMAN
TM.protein	O00559	EBAG9	RCAS1_HUMAN
TM.protein	Q9Y2B1	RXYLT1	RXLT1_HUMAN
TM.protein	Q9BR10	SPATA25	SPT25_HUMAN
TM.protein	Q9H7Z7	PTGES2	PGES2_HUMAN
TM.protein	Q8NEN9	PDZD8	PDZD8_HUMAN
TM.protein	Q7Z3B0	SMIM15	SIM15_HUMAN
TM.protein	A6NLE4	SMIM23	SIM23_HUMAN
TM.protein	A0A1B0GVT2	SMIM36	SIM36_HUMAN
TM.protein	Q4W5P6	SMIM43	SIM43_HUMAN
TM.protein	P49788	RARRES1	TIG1_HUMAN
TM.protein	P0DJ07	PET100	PT100_HUMAN
TM.protein	Q8WWU5	TCP11	TCP11_HUMAN
TM.protein	Q86YA3	ZGRF1	ZGRF1_HUMAN
TM.protein	Q9NXS2	QPCTL	QPCTL_HUMAN
TM.protein	Q8TC12	RDH11	RDH11_HUMAN
TM.protein	Q96DA6	DNAJC19	TIM14_HUMAN
TM.protein	P47985	UQCRFS1	UCRI_HUMAN
TM.protein	Q8NBI6	XXYLT1	XXLT1_HUMAN
TM.protein	Q9BSF4	TIMM29	TIM29_HUMAN
TM.protein	Q8N9M5	TMEM102	TM102_HUMAN
TM.protein	Q9Y6I9	TEX264	TX264_HUMAN
TM.protein	A0A1B0GVQ0	SPAAR	SPAR_HUMAN
TM.protein	A6NLU5	VSTM2B	VTM2B_HUMAN
TM.protein	A6QL63	BTBD11	ABTB3_HUMAN
TM.protein	Q5TH69	ARFGEF3	BIG3_HUMAN
TM.protein	Q8TCP9	FAM200A	F200A_HUMAN
TM.protein	Q07812	BAX	BAX_HUMAN
TM.protein	Q9NWS6	FAM118A	F118A_HUMAN
TM.protein	A0A1B0GTK4	FAM237A	F237A_HUMAN
TM.protein	O95833	CLIC3	CLIC3_HUMAN
TM.protein	Q9H7X2	C1orf115	RDD1_HUMAN
TM.protein	Q8NI60	COQ8A	COQ8A_HUMAN
TM.protein	Q9H1C7	CYSTM1	CYTM1_HUMAN
TM.protein	Q7Z5J8	ANKAR	ANKAR_HUMAN
TM.protein	P21964	COMT	COMT_HUMAN
TM.protein	Q02221	COX6A2	CX6A2_HUMAN
TM.protein	Q0P6D2	DIPK1C	DIK1C_HUMAN
TM.protein	Q4G0N0	GGTA1	GGTA1_HUMAN
TM.protein	Q5H9R4	ARMCX4	ARMX4_HUMAN
TM.protein	Q6L9W6	B4GALNT3	B4GN3_HUMAN
TM.protein	Q86WR0	CCDC25	CCD25_HUMAN
TM.protein	Q5T2E6	ARMH3	ARMD3_HUMAN
